,metascore,name,userscore,name_new
163,85,Persona 4 Arena Ultimax,4.8,persona4arenaultimax
164,85,Super Mega Baseball,7.3,supermegabaseball
165,85,South Park: The Stick of Truth,8.5,southpark thestickoftruth
166,85,The Wolf Among Us: Episode 5 - Cry Wolf,8.3,thewolfamongus episode5 crywolf
167,85,Rogue Legacy,7.7,roguelegacy
168,85,Geometry Wars 3: Dimensions,7.5,geometrywars3 dimensions
169,85,Far Cry 4,7.7,farcry4
170,85,Shantae and the Pirate's Curse,8.7,shantaeandthepirate scurse
171,85,Tomb Raider: Definitive Edition,8.1,tombraider definitiveedition
172,84,Persona 4 Arena Ultimax,5.6,persona4arenaultimax
173,84,Middle-earth: Shadow of Mordor,7.9,middle earth shadowofmordor
174,84,Middle-earth: Shadow of Mordor,8.1,middle earth shadowofmordor
175,84,Guilty Gear Xrd -SIGN-,8.0,guiltygearxrd sign 
176,84,TxK,7.2,txk
177,84,Hearthstone: Goblins Vs. Gnomes,6.2,hearthstone goblinsvs gnomes
178,84,Tales From The Borderlands: Episode 1 - Zer0 Sum,8.4,talesfromtheborderlands episode1 zer0sum
179,84,ZEN Pinball 2: South Park: Super-Sweet Pinball,6.0,zenpinball2 southpark super sweetpinball
180,84,Metro Redux,8.0,metroredux
181,84,Frozen Synapse Prime,7.2,frozensynapseprime
182,84,Europa Universalis IV: Wealth of Nations,8.5,europauniversalisiv wealthofnations
183,84,BioShock Infinite: Burial at Sea - Episode Two,8.5,bioshockinfinite burialatsea episodetwo
184,84,Child of Light,8.5,childoflight
185,84,Metro Redux,8.2,metroredux
186,84,Oddworld: Abe's Oddysee - New 'n' Tasty,7.8,oddworld abe soddysee new n tasty
187,84,Minecraft: PlayStation Vita Edition,7.6,minecraft playstationvitaedition
188,84,Ultra Street Fighter IV,6.9,ultrastreetfighteriv
189,84,The Walking Dead: Season Two Episode 5 - No Going Back,8.8,thewalkingdead seasontwoepisode5 nogoingback
190,84,The Wolf Among Us: Episode 5 - Cry Wolf,8.8,thewolfamongus episode5 crywolf
191,84,Ultimate General: Gettysburg,7.7,ultimategeneral gettysburg
192,83,BlazBlue: Chrono Phantasma,8.3,blazblue chronophantasma
193,83,SMITE,8.2,smite
194,83,Ultra Street Fighter IV,7.5,ultrastreetfighteriv
195,83,Persona Q: Shadow of the Labyrinth,6.5,personaq shadowofthelabyrinth
196,83,Dark Souls II: Crown of the Old Iron King,8.1,darksoulsii crownoftheoldironking
197,83,The Blackwell Epiphany,7.7,theblackwellepiphany
198,83,Retro City Rampage DX,7.5,retrocityrampagedx
199,83,Transistor,8.2,transistor
200,98,Red Dead Redemption 2,5.9,reddeadredemption2
201,97,Red Dead Redemption 2,7.7,reddeadredemption2
202,94,God of War,9.2,godofwar
203,94,Celeste,6.4,celeste
204,93,Undertale,8.1,undertale
205,93,Divinity: Original Sin II - Definitive Edition,7.5,divinity originalsinii definitiveedition
206,92,Forza Horizon 4,7.7,forzahorizon4
207,92,Celeste,8.3,celeste
208,92,Divinity: Original Sin II - Definitive Edition,7.9,divinity originalsinii definitiveedition
209,92,Bayonetta 2,8.4,bayonetta2
210,91,INSIDE,8.2,inside
211,91,Sonic Mania Plus,8.8,sonicmaniaplus
212,91,Dead Cells,8.0,deadcells
213,91,Shadow of the Colossus,8.5,shadowofthecolossus
214,91,Return of the Obra Dinn,8.6,returnoftheobradinn
215,91,Celeste,6.5,celeste
216,90,Into the Breach,7.5,intothebreach
217,90,NieR: Automata - Become as Gods Edition,9.0,nier automata becomeasgodsedition
218,90,Monster Hunter: World,7.2,monsterhunter world
219,90,Hollow Knight,8.8,hollowknight
220,90,Monster Hunter: World,7.8,monsterhunter world
221,90,Into the Breach,7.5,intothebreach
222,90,Dead Cells,8.5,deadcells
223,90,Bayonetta + Bayonetta 2,8.7,bayonetta bayonetta2
